TIME,IR1,IR2,US
03:20:39,0,0,1
03:20:39,0,0,1
03:20:39,0,0,1
03:20:39,0,0,1
03:20:39,0,0,1
03:20:39,0,0,1
03:20:39,0,0,1
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:21:03,0,0,2
03:21:05,0,0,2
03:21:06,0,0,2
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:21:03,0,0,2
03:21:05,0,0,2
03:21:06,0,0,2
03:25:21,0,0,2
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:21:03,0,0,2
03:21:05,0,0,2
03:21:06,0,0,2
03:25:21,0,0,2
03:26:15,0,0,2
03:26:16,0,0,2
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:21:03,0,0,2
03:21:05,0,0,2
03:21:06,0,0,2
03:25:21,0,0,2
03:26:15,0,0,2
03:26:16,0,0,2
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:21:03,0,0,2
03:21:05,0,0,2
03:21:06,0,0,2
03:25:21,0,0,2
03:26:15,0,0,2
03:26:16,0,0,2
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:21:03,0,0,2
03:21:05,0,0,2
03:21:06,0,0,2
03:25:21,0,0,2
03:26:15,0,0,2
03:26:16,0,0,2
03:08:18,0,0,2
03:08:19,0,0,2
03:12:40,0,0,2
03:14:46,0,0,2
03:21:03,0,0,2
03:21:05,0,0,2
03:21:06,0,0,2
03:25:21,0,0,2
03:26:15,0,0,2
03:26:16,0,0,2
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:15:37,0,0,3
03:20:59,0,0,3
03:21:00,0,0,3
03:21:01,0,0,3
03:21:01,0,0,3
03:21:02,0,0,3
03:21:02,0,0,3
03:21:03,0,0,3
03:21:04,0,0,3
03:21:05,0,0,3
03:21:06,0,0,3
03:21:07,0,0,3
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:15:37,0,0,3
03:20:59,0,0,3
03:21:00,0,0,3
03:21:01,0,0,3
03:21:01,0,0,3
03:21:02,0,0,3
03:21:02,0,0,3
03:21:03,0,0,3
03:21:04,0,0,3
03:21:05,0,0,3
03:21:06,0,0,3
03:21:07,0,0,3
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:15:37,0,0,3
03:20:59,0,0,3
03:21:00,0,0,3
03:21:01,0,0,3
03:21:01,0,0,3
03:21:02,0,0,3
03:21:02,0,0,3
03:21:03,0,0,3
03:21:04,0,0,3
03:21:05,0,0,3
03:21:06,0,0,3
03:21:07,0,0,3
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:15:37,0,0,3
03:20:59,0,0,3
03:21:00,0,0,3
03:21:01,0,0,3
03:21:01,0,0,3
03:21:02,0,0,3
03:21:02,0,0,3
03:21:03,0,0,3
03:21:04,0,0,3
03:21:05,0,0,3
03:21:06,0,0,3
03:21:07,0,0,3
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:15:37,0,0,3
03:20:59,0,0,3
03:21:00,0,0,3
03:21:01,0,0,3
03:21:01,0,0,3
03:21:02,0,0,3
03:21:02,0,0,3
03:21:03,0,0,3
03:21:04,0,0,3
03:21:05,0,0,3
03:21:06,0,0,3
03:21:07,0,0,3
03:31:12,0,0,3
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:15:37,0,0,3
03:20:59,0,0,3
03:21:00,0,0,3
03:21:01,0,0,3
03:21:01,0,0,3
03:21:02,0,0,3
03:21:02,0,0,3
03:21:03,0,0,3
03:21:04,0,0,3
03:21:05,0,0,3
03:21:06,0,0,3
03:21:07,0,0,3
03:31:12,0,0,3
03:12:17,0,0,3
03:12:24,0,0,3
03:12:24,0,0,3
03:14:45,0,0,3
03:15:37,0,0,3
03:20:59,0,0,3
03:21:00,0,0,3
03:21:01,0,0,3
03:21:01,0,0,3
03:21:02,0,0,3
03:21:02,0,0,3
03:21:03,0,0,3
03:21:04,0,0,3
03:21:05,0,0,3
03:21:06,0,0,3
